GEO.id,GEO.id2,GEO.display-label,GCT_STUB.target-geo-id,GCT_STUB.target-geo-id2,GCT_STUB.display-label,GCT_STUB.display-label,HD01,HD02,SUBHD0301,SUBHD0302,SUBHD0303,SUBHD0401,SUBHD0402
Id,Id2,Geography,Target Geo Id,Target Geo Id2,Geographic area,Geographic area,Population,Housing units,Area in square miles - Total area,Area in square miles - Water area,Area in square miles - Land area,Density per square mile of land area - Population,Density per square mile of land area - Housing units
0400000US19,19,Iowa,1600000US1919855,1919855,"Iowa - PLACE - Delta city, Keokuk County","Delta city, Keokuk County",328,172,0.93,0.00,0.93,351.7,184.4
0400000US19,19,Iowa,1600000US1919945,1919945,"Iowa - PLACE - Denison city, Crawford County","Denison city, Crawford County",8298,2968,6.58,0.03,6.54,1268.1,453.6
0400000US19,19,Iowa,1600000US1919990,1919990,"Iowa - PLACE - Denmark CDP, Lee County","Denmark CDP, Lee County",423,192,1.66,0.00,1.66,254.7,115.6
0400000US19,19,Iowa,1600000US1920035,1920035,"Iowa - PLACE - Denver city, Bremer County","Denver city, Bremer County",1780,731,1.65,0.01,1.64,1086.5,446.2
0400000US19,19,Iowa,1600000US1920125,1920125,"Iowa - PLACE - Derby city, Lucas County","Derby city, Lucas County",115,55,0.26,0.00,0.26,442.2,211.5
0400000US19,19,Iowa,1600000US1921000,1921000,Iowa - PLACE - Des Moines city,Des Moines city,203433(r42150),88729(r18514),82.60,1.73,80.87,2515.6,1097.2
0400000US19,19,Iowa,1550000US1921000153,1921000153,Iowa - PLACE - Des Moines city - Polk County (part),Polk County (part),203419(r42087),88723(r18450),78.77,1.70,77.06,2639.7,1151.3
0400000US19,19,Iowa,1550000US1921000181,1921000181,Iowa - PLACE - Des Moines city - Warren County (part),Warren County (part),14(r42130),6(r18495),3.83,0.02,3.81,3.7,1.6
0400000US19,19,Iowa,1600000US1921045,1921045,"Iowa - PLACE - De Soto city, Dallas County","De Soto city, Dallas County",1050,417,1.52,0.00,1.52,690.2,274.1
0400000US19,19,Iowa,1600000US1921180,1921180,"Iowa - PLACE - De Witt city, Clinton County","De Witt city, Clinton County",5322,2306,5.98,0.00,5.98,890.1,385.7
0400000US19,19,Iowa,1600000US1921225,1921225,"Iowa - PLACE - Dexter city, Dallas County","Dexter city, Dallas County",611,284,2.35,0.00,2.35,260.4,121.1
0400000US19,19,Iowa,1600000US1921270,1921270,"Iowa - PLACE - Diagonal city, Ringgold County","Diagonal city, Ringgold County",330,145,0.91,0.00,0.90,365.1,160.4
0400000US19,19,Iowa,1600000US1921320,1921320,"Iowa - PLACE - Diamondhead Lake CDP, Guthrie County","Diamondhead Lake CDP, Guthrie County",366,233,0.78,0.16,0.62,587.2,373.8
0400000US19,19,Iowa,1600000US1921360,1921360,"Iowa - PLACE - Dickens city, Clay County","Dickens city, Clay County",185,76,0.84,0.00,0.84,219.3,90.1
0400000US19,19,Iowa,1600000US1921405,1921405,"Iowa - PLACE - Dike city, Grundy County","Dike city, Grundy County",1209,497,1.39,0.00,1.39,866.8,356.3
0400000US19,19,Iowa,1600000US1921540,1921540,"Iowa - PLACE - Dixon city, Scott County","Dixon city, Scott County",247,104,0.15,0.00,0.15,1672.3,704.1
0400000US19,19,Iowa,1600000US1921675,1921675,"Iowa - PLACE - Dolliver city, Emmet County","Dolliver city, Emmet County",66,42,0.36,0.00,0.36,181.3,115.4
0400000US19,19,Iowa,1600000US1921720,1921720,"Iowa - PLACE - Donahue city, Scott County","Donahue city, Scott County",346,127,0.35,0.00,0.35,1000.4,367.2
0400000US19,19,Iowa,1600000US1921810,1921810,"Iowa - PLACE - Donnellson city, Lee County","Donnellson city, Lee County",912,415,1.26,0.00,1.26,721.6,328.4
0400000US19,19,Iowa,1600000US1921900,1921900,"Iowa - PLACE - Doon city, Lyon County","Doon city, Lyon County",577,224,0.57,0.00,0.57,1006.2,390.6
